Unnamed: 0,protein_id_x,transcript_id,rNC1,rNC2,rKD1,rKD2,NC1,NC2,NC3,KD1,KD2,KD3,protein_id_y,High_Pause_Countsc18nc,protein_id,High_Pause_Countsc18ko
1,ENSMUSP00000000001,ENSMUST00000000001,229,189,391,323,674.1,541.8,626.1,604.2,609.7,534.3,ENSMUSP00000000001,16.0,ENSMUSP00000000001,45.5
3,ENSMUSP00000000010,ENSMUST00000000010,129,101,174,144,43.9,37.0,37.2,39.3,40.2,36.3,ENSMUSP00000000010,20.5,ENSMUSP00000000010,37.5
4,ENSMUSP00000000028,ENSMUST00000000028,162,117,314,257,139.9,145.5,145.9,177.5,137.7,154.4,ENSMUSP00000000028,29.5,ENSMUSP00000000028,96.0
7,ENSMUSP00000000058,ENSMUST00000000058,73,41,84,57,73.2,69.4,75.9,74.5,72.6,72.1,ENSMUSP00000000058,10.0,ENSMUSP00000000058,13.5
10,ENSMUSP00000000090,ENSMUST00000000090,239,199,313,240,826.6,817.4,834.7,849.9,769.2,725.7,ENSMUSP00000000090,8.5,ENSMUSP00000000090,7.0
18,ENSMUSP00000000129,ENSMUST00000000129,166,170,291,205,414.2,406.6,389.1,420.8,397.1,369.1,ENSMUSP00000000129,43.5,ENSMUSP00000000129,44.0
19,ENSMUSP00000000137,ENSMUST00000000137,278,243,592,484,1975.8,1724.4,1834.9,1671.2,1763.5,1411.7,ENSMUSP00000000137,22.5,ENSMUSP00000000137,19.5
21,ENSMUSP00000000153,ENSMUST00000000153,3,4,6,8,15.1,14.1,15.5,13.5,11.6,10.4,ENSMUSP00000000153,28.0,ENSMUSP00000000153,31.0
29,ENSMUSP00000000193,ENSMUST00000000193,615,548,995,801,84.4,76.3,77.9,112.9,108.7,110.9,ENSMUSP00000000193,0.0,ENSMUSP00000000193,2.0
31,ENSMUSP00000000199,ENSMUST00000000199,4,4,23,25,91.8,88.3,100.1,147.5,130.7,118.4,ENSMUSP00000000199,18.0,ENSMUSP00000000199,0.0
40,ENSMUSP00000000260,ENSMUST00000000260,66,62,79,51,480.3,471.9,483.2,368.8,367.6,337.9,ENSMUSP00000000260,12.5,ENSMUSP00000000260,7.5
41,ENSMUSP00000000266,ENSMUST00000000266,441,431,976,826,540.8,515.7,513.3,871.4,898.7,769.2,ENSMUSP00000000266,21.0,ENSMUSP00000000266,56.0
45,ENSMUSP00000000287,ENSMUST00000000287,586,448,788,673,811.3,799.7,793.6,846.7,796.6,717.0,ENSMUSP00000000287,20.0,ENSMUSP00000000287,32.5
46,ENSMUSP00000000291,ENSMUST00000000291,32,31,81,50,128.5,83.5,114.7,77.5,116.0,70.9,ENSMUSP00000000291,42.0,ENSMUSP00000000291,72.0
48,ENSMUSP00000000304,ENSMUST00000000304,96,98,175,142,470.3,457.2,472.2,457.8,415.7,383.1,ENSMUSP00000000304,9.5,ENSMUSP00000000304,14.5
57,ENSMUSP00000000335,ENSMUST00000000335,68,61,101,82,762.4,745.0,745.2,831.1,830.1,767.2,ENSMUSP00000000335,8.0,ENSMUSP00000000335,27.5
59,ENSMUSP00000000348,ENSMUST00000000348,54,40,65,79,369.6,342.3,351.3,361.1,353.6,305.8,ENSMUSP00000000348,29.0,ENSMUSP00000000348,42.5
60,ENSMUSP00000000349,ENSMUST00000000349,50,35,161,125,538.5,560.2,559.3,714.8,653.2,552.6,ENSMUSP00000000349,35.0,ENSMUSP00000000349,74.5
62,ENSMUSP00000000365,ENSMUST00000000365,47,31,94,62,199.6,180.2,213.8,168.8,170.9,140.4,ENSMUSP00000000365,11.5,ENSMUSP00000000365,28.5
64,ENSMUSP00000000384,ENSMUST00000000384,25,16,22,22,44.7,36.6,38.8,35.6,33.1,30.7,ENSMUSP00000000384,137.0,ENSMUSP00000000384,101.0
65,ENSMUSP00000000388,ENSMUST00000000388,69,59,76,64,178.9,165.2,163.8,177.0,166.9,150.6,ENSMUSP00000000388,47.0,ENSMUSP00000000388,63.0
