protein_id,High_Pause_Counts,Gene
ENSP00000000233.5,6,ENST00000000233.10
ENSP00000000412.3,21,ENST00000000412.8
ENSP00000001008.4,23,ENST00000001008.6
ENSP00000002125.4,68,ENST00000002125.9
ENSP00000002165.5,34,ENST00000002165.11
ENSP00000002501.6,17,ENST00000002501.11
ENSP00000002829.3,111,ENST00000002829.8
ENSP00000003100.8,47,ENST00000003100.13
ENSP00000003302.4,242,ENST00000003302.8
ENSP00000003583.8,51,ENST00000003583.12
ENSP00000005257.2,11,ENST00000005257.7
ENSP00000005260.8,30,ENST00000005260.9
ENSP00000005286.4,52,ENST00000005286.8
ENSP00000005340.4,53,ENST00000005340.10
ENSP00000005386.3,33,ENST00000005386.8
ENSP00000005587.2,19,ENST00000345317.7
ENSP00000006015.3,4,ENST00000006015.4
ENSP00000006526.6,24,ENST00000348227.4
ENSP00000006658.6,88,ENST00000006658.11
ENSP00000006777.6,35,ENST00000006777.11
ENSP00000007390.2,18,ENST00000007390.3
ENSP00000007414.3,193,ENST00000007414.8
ENSP00000008527.5,71,ENST00000008527.10
ENSP00000011473.2,23,ENST00000011473.6
ENSP00000011619.3,42,ENST00000011619.6
ENSP00000011898.5,27,ENST00000011898.10
ENSP00000012049.4,31,ENST00000012049.10
ENSP00000012443.4,19,ENST00000012443.9
ENSP00000014112.5,4,ENST00000349038.8
ENSP00000014914.6,30,ENST00000014914.6
ENSP00000014930.4,12,ENST00000014930.9
ENSP00000015877.6,53,ENST00000348831.9
ENSP00000016171.6,43,ENST00000016171.6
ENSP00000017003.2,88,ENST00000017003.7
ENSP00000020945.1,44,ENST00000020945.4
ENSP00000022615.4,19,ENST00000022615.9
ENSP00000024061.3,54,ENST00000024061.7
ENSP00000025008.5,115,ENST00000025008.10
ENSP00000025301.2,215,ENST00000025301.4
ENSP00000026218.5,58,ENST00000026218.9
ENSP00000029410.5,29,ENST00000029410.10
ENSP00000033079.3,55,ENST00000033079.7
ENSP00000035307.2,56,ENST00000035307.6
ENSP00000037243.2,7,ENST00000037243.7
ENSP00000037869.3,1,ENST00000037869.7
ENSP00000038176.3,180,ENST00000038176.8
ENSP00000039989.4,92,ENST00000039989.9
ENSP00000040584.4,25,ENST00000040584.6
ENSP00000040663.5,18,ENST00000040663.8
ENSP00000040738.5,168,ENST00000040738.10
ENSP00000040877.1,208,ENST00000040877.2
ENSP00000042381.4,257,ENST00000042381.9
ENSP00000043402.7,6,ENST00000043402.8
ENSP00000044462.7,0,ENST00000044462.12
ENSP00000046640.4,41,ENST00000046640.9
ENSP00000053468.3,15,ENST00000053468.4
ENSP00000053867.2,37,ENST00000053867.8
ENSP00000054666.6,0,ENST00000054666.11
ENSP00000054950.4,13,ENST00000054950.4
ENSP00000055077.3,8,ENST00000055077.8
ENSP00000055335.6,80,ENST00000055335.11
ENSP00000055682.5,14,ENST00000055682.12
ENSP00000056233.3,82,ENST00000056233.4
ENSP00000060969.6,7,ENST00000060969.6
ENSP00000061240.2,49,ENST00000061240.7
ENSP00000064780.2,33,ENST00000064780.7
ENSP00000066544.3,65,ENST00000066544.8
ENSP00000072644.1,46,ENST00000072644.7
ENSP00000072869.4,81,ENST00000072869.9
ENSP00000078429.3,46,ENST00000078429.9
ENSP00000080059.7,187,ENST00000080059.12
ENSP00000081029.3,21,ENST00000081029.8
ENSP00000083182.3,43,ENST00000083182.8
ENSP00000084798.3,44,ENST00000084798.9
ENSP00000155674.5,14,ENST00000155674.9
ENSP00000155840.2,41,ENST00000155840.12
ENSP00000156109.5,31,ENST00000156109.7
ENSP00000156471.5,80,ENST00000156471.10
ENSP00000157600.3,10,ENST00000157600.8
ENSP00000158771.4,14,ENST00000158771.9
ENSP00000159087.4,222,ENST00000159087.7
ENSP00000159111.3,89,ENST00000159111.9
ENSP00000160262.3,98,ENST00000160262.10
ENSP00000160373.3,88,ENST00000160373.8
ENSP00000160827.5,26,ENST00000160827.9
ENSP00000161863.4,95,ENST00000161863.9
ENSP00000162044.7,19,ENST00000162044.14
ENSP00000162330.5,11,ENST00000162330.10
ENSP00000162391.3,84,ENST00000162391.8
ENSP00000162749.2,29,ENST00000162749.7
ENSP00000163416.2,65,ENST00000163416.7
ENSP00000164024.4,355,ENST00000164024.5
ENSP00000164133.2,101,ENST00000164133.7
ENSP00000164227.5,10,ENST00000164227.10
ENSP00000164305.5,50,ENST00000164305.10
ENSP00000164640.4,87,ENST00000164640.8
ENSP00000165698.5,45,ENST00000165698.9
ENSP00000166139.3,13,ENST00000166139.9
ENSP00000166244.3,52,ENST00000166244.8
ENSP00000166345.3,22,ENST00000166345.8
ENSP00000167106.4,57,ENST00000167106.9
ENSP00000167462.5,46,ENST00000167462.9
ENSP00000168216.6,0,ENST00000168216.11
ENSP00000169298.3,12,ENST00000169298.8
ENSP00000169551.6,21,ENST00000169551.11
ENSP00000170168.3,115,ENST00000170168.9
ENSP00000170447.7,28,ENST00000170447.12
ENSP00000170564.1,134,ENST00000170564.7
ENSP00000173229.2,46,ENST00000173229.7
ENSP00000173527.5,12,ENST00000173527.6
ENSP00000173898.7,84,ENST00000173898.12
ENSP00000174618.4,53,ENST00000174618.5
ENSP00000175091.4,13,ENST00000175091.5
ENSP00000175756.5,30,ENST00000175756.10
ENSP00000176643.6,11,ENST00000176643.11
ENSP00000176763.5,88,ENST00000176763.10
ENSP00000178640.5,51,ENST00000178640.10
ENSP00000179259.4,9,ENST00000179259.6
ENSP00000180173.4,23,ENST00000180173.10
ENSP00000181839.4,142,ENST00000181839.10
ENSP00000182527.3,43,ENST00000182527.4
ENSP00000184266.2,2,ENST00000184266.3
ENSP00000184956.5,132,ENST00000184956.11
ENSP00000185150.4,35,ENST00000185150.9
ENSP00000186436.5,82,ENST00000186436.10
ENSP00000187879.6,22,ENST00000187879.12
ENSP00000190165.2,15,ENST00000190165.3
ENSP00000190611.4,213,ENST00000190611.9
ENSP00000192788.5,313,ENST00000192788.6
ENSP00000193322.3,58,ENST00000193322.8
ENSP00000193403.6,14,ENST00000193403.10
ENSP00000194530.3,11,ENST00000194530.8
ENSP00000196061.4,32,ENST00000196061.5
ENSP00000196371.5,28,ENST00000196371.10
ENSP00000196489.2,30,ENST00000196489.4
ENSP00000197268.8,64,ENST00000197268.13
ENSP00000199320.4,28,ENST00000199320.9
ENSP00000199389.6,39,ENST00000199389.11
ENSP00000199448.4,36,ENST00000199448.9
ENSP00000199814.4,23,ENST00000199814.9
ENSP00000200135.3,58,ENST00000200135.8
ENSP00000200181.3,24,ENST00000200181.8
ENSP00000200453.4,88,ENST00000200453.6
ENSP00000200457.4,42,ENST00000200457.9
ENSP00000200557.6,57,ENST00000200557.11
ENSP00000200652.3,13,ENST00000200652.4
ENSP00000201031.2,2,ENST00000201031.3
ENSP00000201586.2,35,ENST00000201586.7
ENSP00000201647.5,13,ENST00000201647.11
ENSP00000202017.4,7,ENST00000202017.6
ENSP00000202556.9,87,ENST00000202556.14
ENSP00000202677.6,315,ENST00000202677.12
ENSP00000202816.1,18,ENST00000202816.5
ENSP00000202967.4,23,ENST00000202967.4
ENSP00000203001.2,11,ENST00000203001.7
ENSP00000203407.5,12,ENST00000203407.6
ENSP00000203556.3,128,ENST00000203556.9
ENSP00000203786.8,30,ENST00000350060.10
ENSP00000204517.6,23,ENST00000204517.11
ENSP00000204549.4,64,ENST00000204549.9
ENSP00000204566.2,49,ENST00000204566.7
ENSP00000204604.1,36,ENST00000204604.5
ENSP00000204679.4,32,ENST00000204679.9
ENSP00000204726.3,82,ENST00000204726.8
ENSP00000204961.4,31,ENST00000204961.5
ENSP00000205061.5,33,ENST00000205061.9
ENSP00000205194.3,21,ENST00000205194.5
ENSP00000205214.6,175,ENST00000205214.11
ENSP00000205402.3,13,ENST00000205402.10
ENSP00000205636.3,36,ENST00000205636.4
ENSP00000206020.3,13,ENST00000206020.8
ENSP00000206262.1,32,ENST00000206262.2
ENSP00000206474.7,52,ENST00000206474.11
ENSP00000206542.4,25,ENST00000206542.9
ENSP00000206595.6,83,ENST00000206595.11
ENSP00000207870.3,40,ENST00000207870.8
ENSP00000209728.4,25,ENST00000209728.9
ENSP00000209873.4,9,ENST00000209873.9
ENSP00000209875.4,0,ENST00000209875.9
ENSP00000209884.4,61,ENST00000209884.5
ENSP00000210060.6,50,ENST00000210060.12
ENSP00000210187.6,19,ENST00000210187.11
ENSP00000210444.5,11,ENST00000210444.6
ENSP00000210633.3,105,ENST00000210633.3
ENSP00000211287.4,22,ENST00000211287.9
ENSP00000211314.4,0,ENST00000211314.5
ENSP00000211936.6,75,ENST00000211936.10
ENSP00000211998.5,55,ENST00000211998.10
ENSP00000212015.6,30,ENST00000212015.11
ENSP00000212355.4,45,ENST00000212355.9
ENSP00000214869.1,12,ENST00000214869.7
ENSP00000215057.1,53,ENST00000215057.7
ENSP00000215061.3,25,ENST00000215061.9
ENSP00000215095.5,35,ENST00000215095.11
ENSP00000215375.1,8,ENST00000215375.7
ENSP00000215530.4,10,ENST00000215530.6
ENSP00000215565.1,12,ENST00000215565.3
ENSP00000215567.4,38,ENST00000215567.10
ENSP00000215570.2,7,ENST00000215570.8
ENSP00000215574.2,14,ENST00000215574.9
ENSP00000215631.3,7,ENST00000215631.9
ENSP00000215659.8,14,ENST00000215659.13
ENSP00000215730.6,6,ENST00000215730.12
ENSP00000215742.4,28,ENST00000215742.9
ENSP00000215790.8,59,ENST00000215790.12
ENSP00000215793.7,33,ENST00000215793.13
ENSP00000215794.7,14,ENST00000215794.8
ENSP00000215829.3,3,ENST00000215829.8
ENSP00000215832.7,14,ENST00000215832.11
ENSP00000215838.3,10,ENST00000215838.8
ENSP00000215882.5,17,ENST00000215882.10
ENSP00000215904.6,26,ENST00000215904.7
ENSP00000215906.5,25,ENST00000215906.6
ENSP00000215909.5,14,ENST00000215909.10
ENSP00000215917.6,33,ENST00000215917.11
ENSP00000215941.4,30,ENST00000215941.9
ENSP00000215957.6,54,ENST00000215957.10
ENSP00000215980.5,7,ENST00000215980.10
ENSP00000216014.4,45,ENST00000216014.9
ENSP00000216024.2,40,ENST00000216024.7
ENSP00000216027.3,25,ENST00000216027.8
ENSP00000216034.4,10,ENST00000216034.6
ENSP00000216038.5,16,ENST00000216038.6
ENSP00000216039.5,20,ENST00000216039.9
ENSP00000216044.5,22,ENST00000216044.10
ENSP00000216068.4,6,ENST00000216068.9
ENSP00000216085.7,25,ENST00000216085.12
ENSP00000216101.6,14,ENST00000216101.7
ENSP00000216106.5,66,ENST00000216106.6
ENSP00000216117.8,21,ENST00000216117.9
ENSP00000216121.7,15,ENST00000216121.12
ENSP00000216122.3,34,ENST00000216122.9
ENSP00000216124.5,98,ENST00000216124.10
ENSP00000216129.6,24,ENST00000216129.7
ENSP00000216133.5,16,ENST00000216133.10
ENSP00000216160.6,36,ENST00000216160.11
ENSP00000216180.3,81,ENST00000216180.8
ENSP00000216181.6,9,ENST00000216181.11
ENSP00000216185.2,10,ENST00000216185.7
ENSP00000216190.8,0,ENST00000216190.13
ENSP00000216214.3,24,ENST00000216214.7
ENSP00000216218.3,46,ENST00000216218.8
ENSP00000216225.8,0,ENST00000216225.9
ENSP00000216237.5,33,ENST00000216237.10
ENSP00000216252.3,0,ENST00000216252.4
ENSP00000216254.4,50,ENST00000216254.9
ENSP00000216259.7,40,ENST00000216259.8
ENSP00000216264.8,21,ENST00000216264.13
ENSP00000216267.8,81,ENST00000216267.12
ENSP00000216268.4,115,ENST00000216268.6
ENSP00000216271.5,38,ENST00000216271.10
ENSP00000216281.8,66,ENST00000216281.13
ENSP00000216286.4,76,ENST00000216286.10
ENSP00000216294.4,27,ENST00000216294.5
ENSP00000216297.2,59,ENST00000216297.7
ENSP00000216330.3,16,ENST00000216330.7
ENSP00000216367.5,53,ENST00000216367.10
ENSP00000216373.5,46,ENST00000216373.10
ENSP00000216392.7,31,ENST00000216392.8
ENSP00000216410.3,34,ENST00000216410.8
ENSP00000216416.4,0,ENST00000216416.9
ENSP00000216420.7,42,ENST00000216420.12
ENSP00000216442.7,0,ENST00000216442.12
ENSP00000216452.4,23,ENST00000216452.9
ENSP00000216455.4,0,ENST00000216455.9
ENSP00000216465.5,20,ENST00000216465.10
ENSP00000216468.7,25,ENST00000216468.8
ENSP00000216471.4,48,ENST00000216471.4
ENSP00000216479.3,21,ENST00000216479.8
ENSP00000216487.7,104,ENST00000216487.12
ENSP00000216489.3,40,ENST00000216489.8
ENSP00000216500.5,23,ENST00000216500.9
ENSP00000216513.4,95,ENST00000216513.5
ENSP00000216554.3,21,ENST00000216554.8
ENSP00000216639.3,13,ENST00000216639.8
ENSP00000216714.3,0,ENST00000216714.8
ENSP00000216756.6,6,ENST00000216756.11
ENSP00000216797.6,32,ENST00000216797.10
ENSP00000216807.6,33,ENST00000216807.12
ENSP00000216832.4,9,ENST00000216832.9
ENSP00000216911.2,27,ENST00000347343.6
ENSP00000216962.3,36,ENST00000216962.9
ENSP00000216968.3,35,ENST00000216968.5
ENSP00000217026.4,60,ENST00000217026.5
ENSP00000217109.4,22,ENST00000217109.9
ENSP00000217159.1,53,ENST00000217159.6
ENSP00000217173.2,57,ENST00000217173.7
ENSP00000217182.3,14,ENST00000217182.6
ENSP00000217244.3,34,ENST00000217244.9
ENSP00000217246.4,20,ENST00000217246.8
ENSP00000217372.2,23,ENST00000346416.7
ENSP00000217381.2,94,ENST00000217381.3
ENSP00000217402.2,13,ENST00000217402.3
ENSP00000217426.2,13,ENST00000217426.7
ENSP00000217455.4,25,ENST00000217455.9
ENSP00000217456.2,13,ENST00000217456.3
ENSP00000217515.5,23,ENST00000217515.11
ENSP00000217740.3,30,ENST00000217740.4
ENSP00000217901.5,11,ENST00000217901.10
ENSP00000217958.3,16,ENST00000217958.8
ENSP00000217971.7,11,ENST00000217971.8
ENSP00000218104.3,101,ENST00000218104.6
ENSP00000218197.5,24,ENST00000218197.9
ENSP00000218230.5,24,ENST00000218230.6
ENSP00000218249.5,14,ENST00000218249.7
ENSP00000218316.3,21,ENST00000218316.4
ENSP00000218340.3,50,ENST00000218340.4
ENSP00000218348.3,49,ENST00000218348.7
ENSP00000218388.4,1,ENST00000218388.9
ENSP00000218516.4,3,ENST00000218516.4
ENSP00000218721.1,10,ENST00000218721.1
ENSP00000219066.1,14,ENST00000219066.5
ENSP00000219069.5,33,ENST00000219069.6
ENSP00000219070.4,10,ENST00000219070.9
ENSP00000219097.2,19,ENST00000219097.7
ENSP00000219139.3,74,ENST00000219139.8
ENSP00000219150.6,98,ENST00000219150.10
ENSP00000219169.4,3,ENST00000219169.9
ENSP00000219197.5,8,ENST00000219197.11
ENSP00000219204.3,15,ENST00000219204.8
ENSP00000219240.4,83,ENST00000219240.9
ENSP00000219252.4,16,ENST00000219252.10
ENSP00000219271.3,75,ENST00000219271.4
ENSP00000219281.3,34,ENST00000219281.8
ENSP00000219299.4,75,ENST00000219299.8
ENSP00000219313.4,4,ENST00000219313.9
ENSP00000219334.5,12,ENST00000219334.10
ENSP00000219345.5,70,ENST00000219345.10
ENSP00000219400.3,2,ENST00000219400.8
ENSP00000219406.7,28,ENST00000219406.11
ENSP00000219409.3,36,ENST00000219409.8
ENSP00000219431.4,9,ENST00000219431.4
ENSP00000219439.4,14,ENST00000219439.9
ENSP00000219476.3,79,ENST00000219476.9
ENSP00000219478.5,69,ENST00000219478.11
ENSP00000219479.2,9,ENST00000219479.7
ENSP00000219548.4,8,ENST00000219548.9
ENSP00000219611.2,67,ENST00000219611.7
ENSP00000219782.6,33,ENST00000219782.10
ENSP00000219789.6,13,ENST00000219789.11
ENSP00000219837.7,39,ENST00000219837.12
ENSP00000220058.4,46,ENST00000220058.9
ENSP00000220166.6,49,ENST00000220166.10
ENSP00000220325.4,38,ENST00000220325.9
ENSP00000220478.3,11,ENST00000220478.8
ENSP00000220496.4,20,ENST00000220496.9
ENSP00000220507.4,23,ENST00000220507.5
ENSP00000220509.5,81,ENST00000220509.10
ENSP00000220514.3,15,ENST00000220514.8
ENSP00000220531.4,24,ENST00000220531.9
ENSP00000220562.4,135,ENST00000220562.9
ENSP00000220592.5,47,ENST00000220592.10
ENSP00000220597.3,61,ENST00000220597.4
ENSP00000220659.6,56,ENST00000220659.11
ENSP00000220669.5,22,ENST00000220669.10
ENSP00000220751.4,59,ENST00000220751.5
ENSP00000220763.5,25,ENST00000220763.10
ENSP00000220764.2,25,ENST00000220764.7
ENSP00000220772.3,64,ENST00000220772.8
ENSP00000220809.4,26,ENST00000220809.9
ENSP00000220822.7,36,ENST00000220822.12
ENSP00000220849.5,23,ENST00000220849.10
ENSP00000220853.3,25,ENST00000220853.8
ENSP00000220913.5,12,ENST00000220913.10
ENSP00000221114.3,20,ENST00000221114.8
ENSP00000221130.5,21,ENST00000221130.11
ENSP00000221138.4,21,ENST00000221138.9
ENSP00000221166.5,18,ENST00000221166.10
ENSP00000221200.4,17,ENST00000221200.9
ENSP00000221233.3,19,ENST00000221233.9
ENSP00000221249.5,113,ENST00000221249.10
ENSP00000221265.2,21,ENST00000221265.8
ENSP00000221283.4,77,ENST00000221283.10
ENSP00000221315.4,45,ENST00000221315.10
ENSP00000221327.3,44,ENST00000221327.8
ENSP00000221399.3,10,ENST00000221399.8
ENSP00000221403.2,13,ENST00000221403.7
ENSP00000221452.7,59,ENST00000221452.13
ENSP00000221455.3,44,ENST00000221455.8
ENSP00000221459.2,26,ENST00000221459.7
ENSP00000221462.3,163,ENST00000221462.9
ENSP00000221480.1,13,ENST00000221480.6
ENSP00000221485.2,10,ENST00000221485.8
ENSP00000221486.4,30,ENST00000221486.6
ENSP00000221494.3,31,ENST00000221494.10
ENSP00000221496.2,63,ENST00000221496.5
ENSP00000221538.2,24,ENST00000221538.8
ENSP00000221543.4,144,ENST00000221543.10
ENSP00000221566.1,0,ENST00000221566.7
ENSP00000221573.5,26,ENST00000221573.11
ENSP00000221665.2,61,ENST00000221665.5
ENSP00000221671.2,57,ENST00000221671.8
ENSP00000221730.2,9,ENST00000221730.8
ENSP00000221855.3,15,ENST00000221855.8
ENSP00000221856.5,45,ENST00000221856.11
ENSP00000221859.3,0,ENST00000221859.9
ENSP00000221891.4,23,ENST00000221891.9
ENSP00000221922.5,66,ENST00000221922.11
ENSP00000221930.4,23,ENST00000221930.6
ENSP00000221957.3,53,ENST00000221957.9
ENSP00000221980.3,59,ENST00000221980.5
ENSP00000222005.1,10,ENST00000222005.7
ENSP00000222008.5,24,ENST00000222008.11
ENSP00000222032.4,13,ENST00000222032.10
ENSP00000222120.2,8,ENST00000222120.8
ENSP00000222122.4,55,ENST00000222122.10
ENSP00000222139.5,38,ENST00000222139.11
ENSP00000222145.3,57,ENST00000222145.9
ENSP00000222219.2,0,ENST00000222219.8
ENSP00000222247.4,14,ENST00000222247.10
ENSP00000222248.2,15,ENST00000222248.4
ENSP00000222256.3,43,ENST00000222256.9
ENSP00000222271.2,31,ENST00000222271.7
ENSP00000222284.4,10,ENST00000222284.10
ENSP00000222305.2,20,ENST00000222305.8
ENSP00000222329.3,67,ENST00000222329.9
