protein_id,High_Pause_Counts,transcript_id_x
ENSP00000000233.5,1,ENST00000000233.10
ENSP00000000412.3,12,ENST00000000412.8
ENSP00000000442.6,19,ENST00000000442.11
ENSP00000001008.4,15,ENST00000001008.6
ENSP00000001146.2,86,ENST00000001146.7
ENSP00000002125.4,26,ENST00000002125.9
ENSP00000002165.5,17,ENST00000002165.11
ENSP00000002829.3,147,ENST00000002829.8
ENSP00000003100.8,59,ENST00000003100.13
ENSP00000003302.4,60,ENST00000003302.8
ENSP00000003912.3,18,ENST00000003912.7
ENSP00000004531.10,37,ENST00000004531.14
ENSP00000005082.9,21,ENST00000005082.13
ENSP00000005178.5,46,ENST00000005178.6
ENSP00000005226.7,0,ENST00000005226.12
ENSP00000005257.2,12,ENST00000005257.7
ENSP00000005259.4,33,ENST00000005259.9
ENSP00000005260.8,29,ENST00000005260.9
ENSP00000005284.4,13,ENST00000005284.4
ENSP00000005286.4,92,ENST00000005286.8
ENSP00000005340.4,48,ENST00000005340.10
ENSP00000005374.6,9,ENST00000005374.10
ENSP00000005386.3,30,ENST00000005386.8
ENSP00000005558.4,17,ENST00000005558.8
ENSP00000005587.2,17,ENST00000345317.7
ENSP00000006015.3,26,ENST00000006015.4
ENSP00000006053.6,39,ENST00000006053.7
ENSP00000006251.7,21,ENST00000006251.11
ENSP00000006275.3,13,ENST00000006275.8
ENSP00000006526.6,13,ENST00000348227.4
ENSP00000006658.6,45,ENST00000006658.11
ENSP00000006750.4,13,ENST00000006750.8
ENSP00000006777.6,29,ENST00000006777.11
ENSP00000007264.2,29,ENST00000007264.7
ENSP00000007390.2,10,ENST00000007390.3
ENSP00000007414.3,28,ENST00000007414.8
ENSP00000007516.2,0,ENST00000007516.8
ENSP00000007708.3,27,ENST00000007708.7
ENSP00000007722.7,177,ENST00000007722.11
ENSP00000007969.8,38,ENST00000007969.12
ENSP00000008391.4,0,ENST00000008391.4
ENSP00000008440.9,14,ENST00000008440.9
ENSP00000008527.5,62,ENST00000008527.10
ENSP00000009180.4,13,ENST00000009180.10
ENSP00000009589.3,13,ENST00000009589.8
ENSP00000010132.5,36,ENST00000010132.6
ENSP00000010404.2,9,ENST00000010404.6
ENSP00000011292.3,29,ENST00000011292.8
ENSP00000011473.2,6,ENST00000011473.6
ENSP00000011619.3,39,ENST00000011619.6
ENSP00000011691.4,7,ENST00000011691.6
ENSP00000011898.5,15,ENST00000011898.10
ENSP00000012049.4,26,ENST00000012049.10
ENSP00000012134.2,380,ENST00000012134.7
ENSP00000012443.4,20,ENST00000012443.9
ENSP00000013034.3,0,ENST00000013034.3
ENSP00000013070.6,46,ENST00000013070.11
ENSP00000013125.5,72,ENST00000013125.9
ENSP00000013222.5,7,ENST00000013222.5
ENSP00000013807.4,7,ENST00000013807.9
ENSP00000014112.5,15,ENST00000349038.8
ENSP00000014914.6,0,ENST00000014914.6
ENSP00000014930.4,16,ENST00000014930.9
ENSP00000014935.3,37,ENST00000014935.7
ENSP00000015877.6,79,ENST00000348831.9
ENSP00000016171.6,27,ENST00000016171.6
ENSP00000017003.2,44,ENST00000017003.7
ENSP00000019019.2,4,ENST00000019019.6
ENSP00000019103.6,9,ENST00000019103.8
ENSP00000019317.4,62,ENST00000019317.8
ENSP00000020926.3,76,ENST00000020926.8
ENSP00000020945.1,13,ENST00000020945.4
ENSP00000022615.4,11,ENST00000022615.9
ENSP00000024061.3,48,ENST00000024061.7
ENSP00000025008.5,84,ENST00000025008.10
ENSP00000025301.2,113,ENST00000025301.4
ENSP00000025399.6,10,ENST00000025399.10
ENSP00000026218.5,64,ENST00000026218.9
ENSP00000029410.5,32,ENST00000029410.10
ENSP00000033079.3,102,ENST00000033079.7
ENSP00000034275.7,25,ENST00000034275.12
ENSP00000037243.2,4,ENST00000037243.7
ENSP00000038176.3,75,ENST00000038176.8
ENSP00000039989.4,118,ENST00000039989.9
ENSP00000040584.4,20,ENST00000040584.6
ENSP00000040663.5,10,ENST00000040663.8
ENSP00000040738.5,281,ENST00000040738.10
ENSP00000040877.1,132,ENST00000040877.2
ENSP00000042381.4,123,ENST00000042381.9
ENSP00000042931.1,0,ENST00000042931.1
ENSP00000043402.7,36,ENST00000043402.8
ENSP00000044462.7,0,ENST00000044462.12
ENSP00000045347.7,33,ENST00000045347.11
ENSP00000046640.4,26,ENST00000046640.9
ENSP00000052569.6,25,ENST00000052569.10
ENSP00000052754.5,21,ENST00000052754.10
ENSP00000053468.3,9,ENST00000053468.4
ENSP00000053867.2,10,ENST00000053867.8
ENSP00000054216.5,18,ENST00000347404.10
ENSP00000054666.6,0,ENST00000054666.11
ENSP00000054950.4,48,ENST00000054950.4
ENSP00000055077.3,14,ENST00000055077.8
ENSP00000055163.7,62,ENST00000350026.10
ENSP00000055335.6,33,ENST00000055335.11
ENSP00000055682.5,42,ENST00000055682.12
ENSP00000056233.3,69,ENST00000056233.4
ENSP00000057513.3,21,ENST00000057513.8
ENSP00000060969.6,9,ENST00000060969.6
ENSP00000061240.2,264,ENST00000061240.7
ENSP00000064724.4,7,ENST00000064724.8
ENSP00000064778.4,17,ENST00000064778.8
ENSP00000064780.2,28,ENST00000064780.7
ENSP00000066544.3,60,ENST00000066544.8
ENSP00000070846.6,85,ENST00000070846.11
ENSP00000072644.1,33,ENST00000072644.7
ENSP00000072869.4,53,ENST00000072869.9
ENSP00000075120.7,66,ENST00000075120.12
ENSP00000075322.6,48,ENST00000075322.11
ENSP00000075430.7,70,ENST00000075430.11
ENSP00000075503.3,26,ENST00000075503.8
ENSP00000078429.3,17,ENST00000078429.9
ENSP00000078445.1,6,ENST00000078445.7
ENSP00000078527.4,90,ENST00000078527.9
ENSP00000080059.7,157,ENST00000080059.12
ENSP00000081029.3,15,ENST00000081029.8
ENSP00000083182.3,36,ENST00000083182.8
ENSP00000084798.3,53,ENST00000084798.9
ENSP00000085068.2,9,ENST00000085068.7
ENSP00000085079.6,34,ENST00000085079.11
ENSP00000085219.4,0,ENST00000085219.10
ENSP00000155674.5,12,ENST00000155674.9
ENSP00000155840.2,14,ENST00000155840.12
ENSP00000155926.4,54,ENST00000155926.9
ENSP00000156084.4,35,ENST00000156084.8
ENSP00000156109.5,20,ENST00000156109.7
ENSP00000156471.5,112,ENST00000156471.10
ENSP00000156626.6,0,ENST00000156626.12
ENSP00000156825.2,19,ENST00000156825.5
ENSP00000157600.3,26,ENST00000157600.8
ENSP00000157812.1,50,ENST00000157812.7
ENSP00000158166.5,96,ENST00000158166.5
ENSP00000158762.3,3,ENST00000158762.8
ENSP00000158771.4,0,ENST00000158771.9
ENSP00000159087.4,156,ENST00000159087.7
ENSP00000159647.5,22,ENST00000159647.9
ENSP00000160262.3,6,ENST00000160262.10
ENSP00000160298.3,68,ENST00000160298.9
ENSP00000160373.3,272,ENST00000160373.8
ENSP00000160382.5,6,ENST00000160382.10
ENSP00000160827.5,24,ENST00000160827.9
ENSP00000161559.6,0,ENST00000161559.11
ENSP00000161863.4,87,ENST00000161863.9
ENSP00000162044.7,19,ENST00000162044.14
ENSP00000162330.5,29,ENST00000162330.10
ENSP00000162391.3,87,ENST00000162391.8
ENSP00000162749.2,46,ENST00000162749.7
ENSP00000163416.2,52,ENST00000163416.7
ENSP00000163678.6,23,ENST00000163678.11
ENSP00000164024.4,141,ENST00000164024.5
ENSP00000164133.2,0,ENST00000164133.7
ENSP00000164227.5,25,ENST00000164227.10
ENSP00000164247.1,30,ENST00000164247.5
ENSP00000164305.5,50,ENST00000164305.10
ENSP00000164640.4,47,ENST00000164640.8
ENSP00000165698.5,13,ENST00000165698.9
ENSP00000166139.3,10,ENST00000166139.9
ENSP00000166244.3,124,ENST00000166244.8
ENSP00000166345.3,21,ENST00000166345.8
ENSP00000166534.4,32,ENST00000166534.8
ENSP00000167106.4,51,ENST00000167106.9
ENSP00000167462.5,201,ENST00000167462.9
ENSP00000168216.6,0,ENST00000168216.11
ENSP00000169298.3,92,ENST00000169298.8
ENSP00000169551.6,7,ENST00000169551.11
ENSP00000170150.3,7,ENST00000170150.4
ENSP00000170168.3,76,ENST00000170168.9
ENSP00000170447.7,16,ENST00000170447.12
ENSP00000170564.1,103,ENST00000170564.7
ENSP00000170630.3,73,ENST00000170630.6
ENSP00000171111.4,46,ENST00000171111.10
ENSP00000171887.4,100,ENST00000171887.8
ENSP00000172229.3,33,ENST00000172229.8
ENSP00000173229.2,39,ENST00000173229.7
ENSP00000173527.5,11,ENST00000173527.6
ENSP00000173898.7,105,ENST00000173898.12
ENSP00000174618.4,44,ENST00000174618.5
ENSP00000174653.3,10,ENST00000174653.3
ENSP00000175091.4,0,ENST00000175091.5
