protein_id,High_Pause_Counts,transcript_id_x
ENSP00000000233.5,12,ENST00000000233.10
ENSP00000000412.3,0,ENST00000000412.8
ENSP00000001008.4,3,ENST00000001008.6
ENSP00000002125.4,39,ENST00000002125.9
ENSP00000002165.5,32,ENST00000002165.11
ENSP00000004531.10,27,ENST00000004531.14
ENSP00000005178.5,34,ENST00000005178.6
ENSP00000005257.2,18,ENST00000005257.7
ENSP00000005260.8,20,ENST00000005260.9
ENSP00000005286.4,27,ENST00000005286.8
ENSP00000005340.4,17,ENST00000005340.10
ENSP00000005386.3,31,ENST00000005386.8
ENSP00000005558.4,11,ENST00000005558.8
ENSP00000006015.3,8,ENST00000006015.4
ENSP00000006275.3,1,ENST00000006275.8
ENSP00000006526.6,17,ENST00000348227.4
ENSP00000006777.6,22,ENST00000006777.11
ENSP00000007264.2,19,ENST00000007264.7
ENSP00000007390.2,11,ENST00000007390.3
ENSP00000007516.2,0,ENST00000007516.8
ENSP00000009041.7,10,ENST00000009041.12
ENSP00000010299.6,37,ENST00000010299.10
ENSP00000011619.3,24,ENST00000011619.6
ENSP00000011691.4,3,ENST00000011691.6
ENSP00000012049.4,19,ENST00000012049.10
ENSP00000012443.4,12,ENST00000012443.9
ENSP00000013034.3,23,ENST00000013034.3
ENSP00000013125.5,55,ENST00000013125.9
ENSP00000014930.4,8,ENST00000014930.9
ENSP00000016171.6,38,ENST00000016171.6
ENSP00000017003.2,34,ENST00000017003.7
ENSP00000022615.4,15,ENST00000022615.9
ENSP00000023939.5,0,ENST00000023939.8
ENSP00000025008.5,64,ENST00000025008.10
ENSP00000025301.2,89,ENST00000025301.4
ENSP00000025399.6,10,ENST00000025399.10
ENSP00000035307.2,46,ENST00000035307.6
ENSP00000037243.2,3,ENST00000037243.7
ENSP00000040663.5,4,ENST00000040663.8
ENSP00000040877.1,106,ENST00000040877.2
ENSP00000053468.3,13,ENST00000053468.4
ENSP00000053867.2,27,ENST00000053867.8
ENSP00000054666.6,0,ENST00000054666.11
ENSP00000054950.4,24,ENST00000054950.4
ENSP00000055077.3,0,ENST00000055077.8
