node_index,transcript_id,protein_id,split,is_labeled,seed,species,task,target_column
0,ENSMUST00000000001,ENSMUSP00000000001,train,True,24,mouse,known,NC3
1,ENSMUST00000000010,ENSMUSP00000000010,train,True,24,mouse,known,NC3
2,ENSMUST00000000028,ENSMUSP00000000028,train,True,24,mouse,known,NC3
3,ENSMUST00000000058,ENSMUSP00000000058,test,True,24,mouse,known,NC3
4,ENSMUST00000000090,ENSMUSP00000000090,train,True,24,mouse,known,NC3
5,ENSMUST00000000129,ENSMUSP00000000129,train,True,24,mouse,known,NC3
6,ENSMUST00000000137,ENSMUSP00000000137,train,True,24,mouse,known,NC3
7,ENSMUST00000000153,ENSMUSP00000000153,val,True,24,mouse,known,NC3
8,ENSMUST00000000193,ENSMUSP00000000193,train,True,24,mouse,known,NC3
9,ENSMUST00000000199,ENSMUSP00000000199,train,True,24,mouse,known,NC3
10,ENSMUST00000000260,ENSMUSP00000000260,train,True,24,mouse,known,NC3
11,ENSMUST00000000266,ENSMUSP00000000266,train,True,24,mouse,known,NC3
12,ENSMUST00000000287,ENSMUSP00000000287,train,True,24,mouse,known,NC3
13,ENSMUST00000000291,ENSMUSP00000000291,train,True,24,mouse,known,NC3
14,ENSMUST00000000304,ENSMUSP00000000304,val,True,24,mouse,known,NC3
15,ENSMUST00000000335,ENSMUSP00000000335,train,True,24,mouse,known,NC3
16,ENSMUST00000000348,ENSMUSP00000000348,train,True,24,mouse,known,NC3
17,ENSMUST00000000349,ENSMUSP00000000349,train,True,24,mouse,known,NC3
18,ENSMUST00000000365,ENSMUSP00000000365,train,True,24,mouse,known,NC3
19,ENSMUST00000000384,ENSMUSP00000000384,train,True,24,mouse,known,NC3
20,ENSMUST00000000388,ENSMUSP00000000388,train,True,24,mouse,known,NC3
21,ENSMUST00000000449,ENSMUSP00000000449,train,True,24,mouse,known,NC3
22,ENSMUST00000000466,ENSMUSP00000000466,val,True,24,mouse,known,NC3
23,ENSMUST00000000505,ENSMUSP00000000505,val,True,24,mouse,known,NC3
24,ENSMUST00000000544,ENSMUSP00000000544,train,True,24,mouse,known,NC3
25,ENSMUST00000000590,ENSMUSP00000000590,train,True,24,mouse,known,NC3
26,ENSMUST00000000594,ENSMUSP00000000594,train,True,24,mouse,known,NC3
27,ENSMUST00000000608,ENSMUSP00000000608,train,True,24,mouse,known,NC3
28,ENSMUST00000000619,ENSMUSP00000000619,val,True,24,mouse,known,NC3
29,ENSMUST00000000642,ENSMUSP00000000642,train,True,24,mouse,known,NC3
30,ENSMUST00000000704,ENSMUSP00000000704,train,True,24,mouse,known,NC3
31,ENSMUST00000000724,ENSMUSP00000000724,train,True,24,mouse,known,NC3
32,ENSMUST00000000727,nan,test,True,24,mouse,known,NC3
33,ENSMUST00000000756,ENSMUSP00000000756,train,True,24,mouse,known,NC3
34,ENSMUST00000000759,ENSMUSP00000000759,train,True,24,mouse,known,NC3
35,ENSMUST00000000767,ENSMUSP00000000767,val,True,24,mouse,known,NC3
36,ENSMUST00000000776,ENSMUSP00000000776,train,True,24,mouse,known,NC3
37,ENSMUST00000000793,ENSMUSP00000000793,train,True,24,mouse,known,NC3
38,ENSMUST00000000804,ENSMUSP00000000804,train,True,24,mouse,known,NC3
39,ENSMUST00000000828,ENSMUSP00000000828,train,True,24,mouse,known,NC3
40,ENSMUST00000000896,ENSMUSP00000000896,train,True,24,mouse,known,NC3
41,ENSMUST00000000925,ENSMUSP00000000925,test,True,24,mouse,known,NC3
42,ENSMUST00000000939,ENSMUSP00000000939,train,True,24,mouse,known,NC3
43,ENSMUST00000000940,ENSMUSP00000000940,test,True,24,mouse,known,NC3
44,ENSMUST00000000958,ENSMUSP00000000958,val,True,24,mouse,known,NC3
45,ENSMUST00000000985,ENSMUSP00000000985,train,True,24,mouse,known,NC3
46,ENSMUST00000001002,ENSMUSP00000001002,train,True,24,mouse,known,NC3
47,ENSMUST00000001027,ENSMUSP00000001027,train,True,24,mouse,known,NC3
48,ENSMUST00000001042,ENSMUSP00000001042,train,True,24,mouse,known,NC3
49,ENSMUST00000001046,ENSMUSP00000001046,val,True,24,mouse,known,NC3
50,ENSMUST00000001051,ENSMUSP00000001051,train,True,24,mouse,known,NC3
51,ENSMUST00000001059,ENSMUSP00000001059,train,True,24,mouse,known,NC3
52,ENSMUST00000001079,ENSMUSP00000001079,test,True,24,mouse,known,NC3
53,ENSMUST00000001115,ENSMUSP00000001115,train,True,24,mouse,known,NC3
54,ENSMUST00000001127,ENSMUSP00000001127,train,True,24,mouse,known,NC3
55,ENSMUST00000001147,ENSMUSP00000001147,val,True,24,mouse,known,NC3
56,ENSMUST00000001148,ENSMUSP00000001148,train,True,24,mouse,known,NC3
57,ENSMUST00000001155,ENSMUSP00000001155,val,True,24,mouse,known,NC3
58,ENSMUST00000001166,ENSMUSP00000001166,test,True,24,mouse,known,NC3
59,ENSMUST00000001179,ENSMUSP00000001179,train,True,24,mouse,known,NC3
60,ENSMUST00000001181,ENSMUSP00000001181,train,True,24,mouse,known,NC3
61,ENSMUST00000001187,ENSMUSP00000001187,train,True,24,mouse,known,NC3
62,ENSMUST00000001202,ENSMUSP00000001202,train,True,24,mouse,known,NC3
63,ENSMUST00000001226,ENSMUSP00000001226,train,True,24,mouse,known,NC3
64,ENSMUST00000001242,ENSMUSP00000001242,train,True,24,mouse,known,NC3
65,ENSMUST00000001258,ENSMUSP00000001258,train,True,24,mouse,known,NC3
66,ENSMUST00000001304,ENSMUSP00000001304,train,True,24,mouse,known,NC3
67,ENSMUST00000001319,ENSMUSP00000001319,train,True,24,mouse,known,NC3
68,ENSMUST00000001326,ENSMUSP00000001326,train,True,24,mouse,known,NC3
69,ENSMUST00000001339,ENSMUSP00000001339,train,True,24,mouse,known,NC3
70,ENSMUST00000001412,ENSMUSP00000001412,val,True,24,mouse,known,NC3
71,ENSMUST00000001416,ENSMUSP00000001416,val,True,24,mouse,known,NC3
72,ENSMUST00000001419,ENSMUSP00000001419,train,True,24,mouse,known,NC3
73,ENSMUST00000001451,ENSMUSP00000001451,train,True,24,mouse,known,NC3
74,ENSMUST00000001452,ENSMUSP00000001452,train,True,24,mouse,known,NC3
75,ENSMUST00000001460,ENSMUSP00000001460,test,True,24,mouse,known,NC3
76,ENSMUST00000001479,ENSMUSP00000001479,train,True,24,mouse,known,NC3
77,ENSMUST00000001480,ENSMUSP00000001480,val,True,24,mouse,known,NC3
78,ENSMUST00000001485,ENSMUSP00000001485,train,True,24,mouse,known,NC3
79,ENSMUST00000001507,ENSMUSP00000001507,test,True,24,mouse,known,NC3
80,ENSMUST00000001513,ENSMUSP00000001513,train,True,24,mouse,known,NC3
81,ENSMUST00000001520,ENSMUSP00000001520,train,True,24,mouse,known,NC3
82,ENSMUST00000001544,ENSMUSP00000001544,train,True,24,mouse,known,NC3
83,ENSMUST00000001547,ENSMUSP00000001547,train,True,24,mouse,known,NC3
84,ENSMUST00000001559,ENSMUSP00000001559,val,True,24,mouse,known,NC3
85,ENSMUST00000001562,ENSMUSP00000001562,train,True,24,mouse,known,NC3
86,ENSMUST00000001565,ENSMUSP00000001565,train,True,24,mouse,known,NC3
87,ENSMUST00000001566,ENSMUSP00000001566,train,True,24,mouse,known,NC3
88,ENSMUST00000001569,ENSMUSP00000001569,train,True,24,mouse,known,NC3
89,ENSMUST00000001592,ENSMUSP00000001592,test,True,24,mouse,known,NC3
90,ENSMUST00000001595,ENSMUSP00000001595,test,True,24,mouse,known,NC3
91,ENSMUST00000001611,ENSMUSP00000001611,test,True,24,mouse,known,NC3
92,ENSMUST00000001620,ENSMUSP00000001620,val,True,24,mouse,known,NC3
93,ENSMUST00000001672,ENSMUSP00000001672,train,True,24,mouse,known,NC3
94,ENSMUST00000001712,ENSMUSP00000001712,train,True,24,mouse,known,NC3
95,ENSMUST00000001713,ENSMUSP00000001713,train,True,24,mouse,known,NC3
96,ENSMUST00000001716,ENSMUSP00000001716,test,True,24,mouse,known,NC3
97,ENSMUST00000001724,ENSMUSP00000001724,train,True,24,mouse,known,NC3
98,ENSMUST00000001757,ENSMUSP00000001757,train,True,24,mouse,known,NC3
99,ENSMUST00000001780,ENSMUSP00000001780,train,True,24,mouse,known,NC3
100,ENSMUST00000001792,ENSMUSP00000001792,train,True,24,mouse,known,NC3
101,ENSMUST00000001801,ENSMUSP00000001801,train,True,24,mouse,known,NC3
102,ENSMUST00000001802,ENSMUSP00000001802,train,True,24,mouse,known,NC3
103,ENSMUST00000001809,ENSMUSP00000001809,train,True,24,mouse,known,NC3
104,ENSMUST00000001818,ENSMUSP00000001818,test,True,24,mouse,known,NC3
105,ENSMUST00000001825,ENSMUSP00000001825,val,True,24,mouse,known,NC3
106,ENSMUST00000001834,ENSMUSP00000001834,train,True,24,mouse,known,NC3
107,ENSMUST00000001836,ENSMUSP00000001836,train,True,24,mouse,known,NC3
108,ENSMUST00000001920,ENSMUSP00000001920,train,True,24,mouse,known,NC3
109,ENSMUST00000001950,ENSMUSP00000001950,train,True,24,mouse,known,NC3
110,ENSMUST00000001975,ENSMUSP00000001975,test,True,24,mouse,known,NC3
111,ENSMUST00000002029,ENSMUSP00000002029,train,True,24,mouse,known,NC3
112,ENSMUST00000002043,ENSMUSP00000002043,train,True,24,mouse,known,NC3
113,ENSMUST00000002044,ENSMUSP00000002044,train,True,24,mouse,known,NC3
114,ENSMUST00000002048,ENSMUSP00000002048,test,True,24,mouse,known,NC3
115,ENSMUST00000002063,ENSMUSP00000002063,train,True,24,mouse,known,NC3
116,ENSMUST00000002064,ENSMUSP00000002064,val,True,24,mouse,known,NC3
117,ENSMUST00000002084,ENSMUSP00000002084,train,True,24,mouse,known,NC3
118,ENSMUST00000002091,ENSMUSP00000002091,test,True,24,mouse,known,NC3
119,ENSMUST00000002121,ENSMUSP00000002121,train,True,24,mouse,known,NC3
120,ENSMUST00000002128,ENSMUSP00000002128,train,True,24,mouse,known,NC3
121,ENSMUST00000002133,ENSMUSP00000002133,train,True,24,mouse,known,NC3
122,ENSMUST00000002198,ENSMUSP00000002198,train,True,24,mouse,known,NC3
123,ENSMUST00000002275,ENSMUSP00000002275,train,True,24,mouse,known,NC3
124,ENSMUST00000002280,ENSMUSP00000002280,train,True,24,mouse,known,NC3
125,ENSMUST00000002284,ENSMUSP00000002284,test,True,24,mouse,known,NC3
126,ENSMUST00000002289,ENSMUSP00000002289,test,True,24,mouse,known,NC3
127,ENSMUST00000002291,ENSMUSP00000002291,train,True,24,mouse,known,NC3
128,ENSMUST00000002292,ENSMUSP00000002292,train,True,24,mouse,known,NC3
129,ENSMUST00000002303,ENSMUSP00000002303,train,True,24,mouse,known,NC3
130,ENSMUST00000002320,ENSMUSP00000002320,train,True,24,mouse,known,NC3
131,ENSMUST00000002379,ENSMUSP00000002379,train,True,24,mouse,known,NC3
132,ENSMUST00000002397,ENSMUSP00000002397,train,True,24,mouse,known,NC3
133,ENSMUST00000002400,ENSMUSP00000002400,train,True,24,mouse,known,NC3
134,ENSMUST00000002403,ENSMUSP00000002403,train,True,24,mouse,known,NC3
135,ENSMUST00000002413,ENSMUSP00000002413,test,True,24,mouse,known,NC3
136,ENSMUST00000002418,ENSMUSP00000002418,train,True,24,mouse,known,NC3
