node_index,transcript_id,protein_id,split,is_labeled,seed,workflow,target_column
0,ENST00000000233,ENSP00000000233.5,train,True,0,self_learning,NC3
1,ENST00000000412,ENSP00000000412.3,test,True,0,self_learning,NC3
2,ENST00000001008,ENSP00000001008.4,train,True,0,self_learning,NC3
3,ENST00000002125,ENSP00000002125.4,train,True,0,self_learning,NC3
4,ENST00000002165,ENSP00000002165.5,test,True,0,self_learning,NC3
5,ENST00000002501,0,unlabeled,False,0,self_learning,NC3
6,ENST00000002829,ENSP00000002829.3,unlabeled,False,0,self_learning,NC3
7,ENST00000003100,ENSP00000003100.8,unlabeled,False,0,self_learning,NC3
8,ENST00000003302,ENSP00000003302.4,unlabeled,False,0,self_learning,NC3
9,ENST00000003583,0,unlabeled,False,0,self_learning,NC3
10,ENST00000005178,ENSP00000005178.5,test,True,0,self_learning,NC3
11,ENST00000005257,ENSP00000005257.2,train,True,0,self_learning,NC3
12,ENST00000005260,ENSP00000005260.8,train,True,0,self_learning,NC3
13,ENST00000005286,ENSP00000005286.4,train,True,0,self_learning,NC3
14,ENST00000005340,ENSP00000005340.4,train,True,0,self_learning,NC3
15,ENST00000005386,ENSP00000005386.3,test,True,0,self_learning,NC3
16,ENST00000006015,ENSP00000006015.3,train,True,0,self_learning,NC3
17,ENST00000006658,ENSP00000006658.6,unlabeled,False,0,self_learning,NC3
18,ENST00000006777,ENSP00000006777.6,train,True,0,self_learning,NC3
19,ENST00000007390,ENSP00000007390.2,train,True,0,self_learning,NC3
20,ENST00000007414,ENSP00000007414.3,unlabeled,False,0,self_learning,NC3
21,ENST00000008527,ENSP00000008527.5,unlabeled,False,0,self_learning,NC3
22,ENST00000011473,ENSP00000011473.2,unlabeled,False,0,self_learning,NC3
23,ENST00000011619,ENSP00000011619.3,test,True,0,self_learning,NC3
24,ENST00000011898,ENSP00000011898.5,unlabeled,False,0,self_learning,NC3
25,ENST00000012049,ENSP00000012049.4,test,True,0,self_learning,NC3
26,ENST00000012443,ENSP00000012443.4,train,True,0,self_learning,NC3
27,ENST00000014914,ENSP00000014914.6,unlabeled,False,0,self_learning,NC3
28,ENST00000014930,ENSP00000014930.4,train,True,0,self_learning,NC3
