node_index,transcript_id,protein_id,split,is_labeled,seed,species,task,target_column
0,ENST00000000233,ENSP00000000233.5,train,True,8,human,known,NC3
1,ENST00000000412,ENSP00000000412.3,test,True,8,human,known,NC3
2,ENST00000001008,ENSP00000001008.4,test,True,8,human,known,NC3
3,ENST00000002125,ENSP00000002125.4,train,True,8,human,known,NC3
4,ENST00000002165,ENSP00000002165.5,train,True,8,human,known,NC3
5,ENST00000004531,ENSP00000004531.10,train,True,8,human,known,NC3
6,ENST00000005178,ENSP00000005178.5,train,True,8,human,known,NC3
7,ENST00000005257,ENSP00000005257.2,train,True,8,human,known,NC3
8,ENST00000005260,ENSP00000005260.8,train,True,8,human,known,NC3
9,ENST00000005286,ENSP00000005286.4,test,True,8,human,known,NC3
10,ENST00000005340,ENSP00000005340.4,train,True,8,human,known,NC3
11,ENST00000005386,ENSP00000005386.3,train,True,8,human,known,NC3
12,ENST00000005558,ENSP00000005558.4,train,True,8,human,known,NC3
13,ENST00000006015,ENSP00000006015.3,train,True,8,human,known,NC3
14,ENST00000006275,ENSP00000006275.3,test,True,8,human,known,NC3
15,ENST00000348227,ENSP00000006526.6,train,True,8,human,known,NC3
16,ENST00000006777,ENSP00000006777.6,train,True,8,human,known,NC3
17,ENST00000007264,ENSP00000007264.2,train,True,8,human,known,NC3
18,ENST00000007390,ENSP00000007390.2,train,True,8,human,known,NC3
19,ENST00000007516,ENSP00000007516.2,val,True,8,human,known,NC3
20,ENST00000008391,nan,train,True,8,human,known,NC3
21,ENST00000009041,ENSP00000009041.7,train,True,8,human,known,NC3
22,ENST00000010299,ENSP00000010299.6,test,True,8,human,known,NC3
23,ENST00000011619,ENSP00000011619.3,train,True,8,human,known,NC3
24,ENST00000011691,ENSP00000011691.4,train,True,8,human,known,NC3
25,ENST00000012049,ENSP00000012049.4,train,True,8,human,known,NC3
26,ENST00000012443,ENSP00000012443.4,train,True,8,human,known,NC3
27,ENST00000013034,ENSP00000013034.3,train,True,8,human,known,NC3
28,ENST00000013125,ENSP00000013125.5,train,True,8,human,known,NC3
29,ENST00000014930,ENSP00000014930.4,train,True,8,human,known,NC3
30,ENST00000016171,ENSP00000016171.6,train,True,8,human,known,NC3
31,ENST00000017003,ENSP00000017003.2,train,True,8,human,known,NC3
32,ENST00000022615,ENSP00000022615.4,test,True,8,human,known,NC3
33,ENST00000023939,ENSP00000023939.5,train,True,8,human,known,NC3
34,ENST00000025008,ENSP00000025008.5,train,True,8,human,known,NC3
35,ENST00000025301,ENSP00000025301.2,train,True,8,human,known,NC3
36,ENST00000025399,ENSP00000025399.6,train,True,8,human,known,NC3
37,ENST00000037243,ENSP00000037243.2,train,True,8,human,known,NC3
38,ENST00000040663,ENSP00000040663.5,train,True,8,human,known,NC3
39,ENST00000040877,ENSP00000040877.1,train,True,8,human,known,NC3
